,map_name,player_name,team_name,hero_name
51373,King's Row,SASIN,Los Angeles Valiant,Zarya
51411,King's Row,Creative,Seoul Dynasty,Ana
51448,King's Row,Profit,Seoul Dynasty,Genji
51452,King's Row,Profit,Seoul Dynasty,Soldier: 76
51472,King's Row,Profit,Seoul Dynasty,Symmetra
51504,King's Row,Stalk3r,Seoul Dynasty,Echo
51520,King's Row,Stalk3r,Seoul Dynasty,Tracer
51536,King's Row,Stalk3r,Seoul Dynasty,Widowmaker
51548,King's Row,Vindaim,Seoul Dynasty,Lucio
51578,King's Row,smurf,Seoul Dynasty,Doomfist
51600,King's Row,smurf,Seoul Dynasty,Winston
51635,Lijiang Tower,Becky,Los Angeles Valiant,Echo
51659,Lijiang Tower,Becky,Los Angeles Valiant,Genji
51681,Lijiang Tower,Becky,Los Angeles Valiant,Pharah
51695,Lijiang Tower,Becky,Los Angeles Valiant,Symmetra
51714,Lijiang Tower,ColdesT,Los Angeles Valiant,Ana
51753,Lijiang Tower,Diya,Los Angeles Valiant,Reaper
51767,Lijiang Tower,Diya,Los Angeles Valiant,Soldier: 76
51779,Lijiang Tower,Diya,Los Angeles Valiant,Tracer
51803,Lijiang Tower,Lengsa,Los Angeles Valiant,Lucio
51823,Lijiang Tower,Lengsa,Los Angeles Valiant,Mercy
51851,Lijiang Tower,SASIN,Los Angeles Valiant,Doomfist
51874,Lijiang Tower,SASIN,Los Angeles Valiant,Zarya
51913,Lijiang Tower,Creative,Seoul Dynasty,Ana
51943,Lijiang Tower,Creative,Seoul Dynasty,Baptiste
51965,Lijiang Tower,Fits,Seoul Dynasty,Soldier: 76
51987,Lijiang Tower,Fits,Seoul Dynasty,Symmetra
52003,Lijiang Tower,Profit,Seoul Dynasty,Mei
52023,Lijiang Tower,Profit,Seoul Dynasty,Reaper
52067,Lijiang Tower,Vindaim,Seoul Dynasty,Lucio
52109,Lijiang Tower,smurf,Seoul Dynasty,Reinhardt
52126,Lijiang Tower,smurf,Seoul Dynasty,Zarya
52173,New Queen Street,ColdesT,Los Angeles Valiant,Ana
52211,New Queen Street,Diya,Los Angeles Valiant,Soldier: 76
52244,New Queen Street,Ezhan,Los Angeles Valiant,Cassidy
