,esports_match_id,map_name,map_type,player_name,team_name,hero_name
32250,38989,Lijiang Tower,control,Aspire,Vancouver Titans,Widowmaker
32273,38989,Lijiang Tower,control,False,Vancouver Titans,Winston
32320,38989,Lijiang Tower,control,Masaa,Vancouver Titans,Lucio
32361,38989,Lijiang Tower,control,Skairipa,Vancouver Titans,Ana
32394,38989,Lijiang Tower,control,Skairipa,Vancouver Titans,Moira
32406,38989,Lijiang Tower,control,sHockWave,Vancouver Titans,Reaper
32424,38989,Lijiang Tower,control,sHockWave,Vancouver Titans,Soldier: 76
32462,38990,Colosseo,push,Anamo,Florida Mayhem,Lucio
32499,38990,Colosseo,push,Checkmate,Florida Mayhem,Sombra
32525,38990,Colosseo,push,Hydron,Florida Mayhem,Soldier: 76
32554,38990,Colosseo,push,SirMajed,Florida Mayhem,Ana
32604,38990,Colosseo,push,Someone,Florida Mayhem,Zarya
32638,38990,Colosseo,push,Danteh,Houston Outlaws,Doomfist
32672,38990,Colosseo,push,Lastro,Houston Outlaws,Lucio
32713,38990,Colosseo,push,MER1T,Houston Outlaws,Soldier: 76
32744,38990,Colosseo,push,PELICAN,Houston Outlaws,Echo
32784,38990,Colosseo,push,ir1s,Houston Outlaws,Ana
32823,38990,Route 66,payload,Anamo,Florida Mayhem,Lucio
32860,38990,Route 66,payload,Checkmate,Florida Mayhem,Echo
32879,38990,Route 66,payload,Checkmate,Florida Mayhem,Tracer
32923,38990,Route 66,payload,Hydron,Florida Mayhem,Soldier: 76
32963,38990,Route 66,payload,SirMajed,Florida Mayhem,Ana
33001,38990,Route 66,payload,Someone,Florida Mayhem,Doomfist
33020,38990,Route 66,payload,Someone,Florida Mayhem,Winston
33062,38990,Route 66,payload,Lastro,Houston Outlaws,Lucio
33108,38990,Route 66,payload,MER1T,Houston Outlaws,Hanzo
33111,38990,Route 66,payload,MER1T,Houston Outlaws,Reaper
33130,38990,Route 66,payload,MER1T,Houston Outlaws,Soldier: 76
33167,38990,Route 66,payload,PELICAN,Houston Outlaws,Genji
33182,38990,Route 66,payload,PELICAN,Houston Outlaws,Reaper
33203,38990,Route 66,payload,PELICAN,Houston Outlaws,Soldier: 76
33211,38990,Route 66,payload,PELICAN,Houston Outlaws,Tracer
33225,38990,Route 66,payload,PELICAN,Houston Outlaws,Widowmaker
33245,38990,Route 66,payload,Piggy,Houston Outlaws,D.Va
33256,38990,Route 66,payload,Piggy,Houston Outlaws,Zarya
33295,38990,Route 66,payload,ir1s,Houston Outlaws,Ana
33318,38990,Route 66,payload,ir1s,Houston Outlaws,Zenyatta
33337,38990,King's Row,hybrid,Anamo,Florida Mayhem,Lucio
33372,38990,King's Row,hybrid,Checkmate,Florida Mayhem,Echo
33388,38990,King's Row,hybrid,Checkmate,Florida Mayhem,Tracer
33407,38990,King's Row,hybrid,Checkmate,Florida Mayhem,Widowmaker
33434,38990,King's Row,hybrid,Hydron,Florida Mayhem,Soldier: 76
33471,38990,King's Row,hybrid,SirMajed,Florida Mayhem,Ana
33502,38990,King's Row,hybrid,SirMajed,Florida Mayhem,Moira
33541,38990,King's Row,hybrid,Someone,Florida Mayhem,Doomfist
33543,38990,King's Row,hybrid,Someone,Florida Mayhem,Winston
33587,38990,King's Row,hybrid,Danteh,Houston Outlaws,Doomfist
33626,38990,King's Row,hybrid,Lastro,Houston Outlaws,Lucio
33665,38990,King's Row,hybrid,MER1T,Houston Outlaws,Hanzo
33672,38990,King's Row,hybrid,MER1T,Houston Outlaws,Reaper
33689,38990,King's Row,hybrid,MER1T,Houston Outlaws,Soldier: 76
33723,38990,King's Row,hybrid,PELICAN,Houston Outlaws,Echo
33748,38990,King's Row,hybrid,PELICAN,Houston Outlaws,Widowmaker
33766,38990,King's Row,hybrid,ir1s,Houston Outlaws,Ana
33811,38990,Lijiang Tower,control,Anamo,Florida Mayhem,Lucio
33850,38990,Lijiang Tower,control,Checkmate,Florida Mayhem,Sombra
33876,38990,Lijiang Tower,control,Hydron,Florida Mayhem,Soldier: 76
33916,38990,Lijiang Tower,control,SirMajed,Florida Mayhem,Ana
33960,38990,Lijiang Tower,control,Someone,Florida Mayhem,Winston
33990,38990,Lijiang Tower,control,Someone,Florida Mayhem,Zarya
34028,38990,Lijiang Tower,control,Danteh,Houston Outlaws,Doomfist
34067,38990,Lijiang Tower,control,Lastro,Houston Outlaws,Lucio
34107,38990,Lijiang Tower,control,MER1T,Houston Outlaws,Reaper
34119,38990,Lijiang Tower,control,MER1T,Houston Outlaws,Soldier: 76
34160,38990,Lijiang Tower,control,PELICAN,Houston Outlaws,Echo
34183,38990,Lijiang Tower,control,PELICAN,Houston Outlaws,Genji
34193,38990,Lijiang Tower,control,PELICAN,Houston Outlaws,Symmetra
34211,38990,Lijiang Tower,control,ir1s,Houston Outlaws,Ana
34249,38990,New Queen Street,push,Anamo,Florida Mayhem,Lucio
34273,38990,New Queen Street,push,Checkmate,Florida Mayhem,Sombra
34297,38990,New Queen Street,push,Hydron,Florida Mayhem,Soldier: 76
34328,38990,New Queen Street,push,SirMajed,Florida Mayhem,Ana
34367,38990,New Queen Street,push,Someone,Florida Mayhem,Winston
34399,38990,New Queen Street,push,Danteh,Houston Outlaws,Doomfist
34433,38990,New Queen Street,push,Lastro,Houston Outlaws,Lucio
34469,38990,New Queen Street,push,MER1T,Houston Outlaws,Soldier: 76
34500,38990,New Queen Street,push,PELICAN,Houston Outlaws,Tracer
34536,38990,New Queen Street,push,ir1s,Houston Outlaws,Ana
34575,38991,New Queen Street,push,Flora,New York Excelsior,Soldier: 76
34608,38991,New Queen Street,push,GangNamJin,New York Excelsior,Lucio
34644,38991,New Queen Street,push,Kellan,New York Excelsior,Winston
34678,38991,New Queen Street,push,Myunb0ng,New York Excelsior,Ana
34709,38991,New Queen Street,push,Yaki,New York Excelsior,Tracer
34742,38991,New Queen Street,push,Coluge,San Francisco Shock,Winston
34783,38991,New Queen Street,push,FiNN,San Francisco Shock,Ana
34830,38991,New Queen Street,push,Kilo,San Francisco Shock,Soldier: 76
34860,38991,New Queen Street,push,Proper,San Francisco Shock,Tracer
34902,38991,New Queen Street,push,Viol2t,San Francisco Shock,Lucio
34943,38991,Dorado,payload,Flora,New York Excelsior,Soldier: 76
34967,38991,Dorado,payload,Flora,New York Excelsior,Tracer
34982,38991,Dorado,payload,Flora,New York Excelsior,Widowmaker
35007,38991,Dorado,payload,GangNamJin,New York Excelsior,Brigitte
35040,38991,Dorado,payload,Kellan,New York Excelsior,Winston
35077,38991,Dorado,payload,Myunb0ng,New York Excelsior,Ana
35116,38991,Dorado,payload,Yaki,New York Excelsior,Genji
35144,38991,Dorado,payload,Yaki,New York Excelsior,Symmetra
35167,38991,Dorado,payload,Coluge,San Francisco Shock,Winston
35210,38991,Dorado,payload,FiNN,San Francisco Shock,Ana
35252,38991,Dorado,payload,Kilo,San Francisco Shock,Soldier: 76
35279,38991,Dorado,payload,Kilo,San Francisco Shock,Widowmaker
35304,38991,Dorado,payload,Proper,San Francisco Shock,Genji
35330,38991,Dorado,payload,Proper,San Francisco Shock,Symmetra
35355,38991,Dorado,payload,Viol2t,San Francisco Shock,Brigitte
35371,38991,Dorado,payload,Viol2t,San Francisco Shock,Lucio
35414,38991,King's Row,hybrid,Flora,New York Excelsior,Soldier: 76
35445,38991,King's Row,hybrid,GangNamJin,New York Excelsior,Lucio
35473,38991,King's Row,hybrid,Kellan,New York Excelsior,Winston
35501,38991,King's Row,hybrid,Kellan,New York Excelsior,Wrecking Ball
35507,38991,King's Row,hybrid,Kellan,New York Excelsior,Zarya
35548,38991,King's Row,hybrid,Myunb0ng,New York Excelsior,Ana
35583,38991,King's Row,hybrid,Yaki,New York Excelsior,Reaper
35604,38991,King's Row,hybrid,Yaki,New York Excelsior,Tracer
35648,38991,King's Row,hybrid,Coluge,San Francisco Shock,Doomfist
35653,38991,King's Row,hybrid,Coluge,San Francisco Shock,Winston
35692,38991,King's Row,hybrid,FiNN,San Francisco Shock,Ana
35713,38991,King's Row,hybrid,FiNN,San Francisco Shock,Mercy
35714,38991,King's Row,hybrid,FiNN,San Francisco Shock,Moira
35732,38991,King's Row,hybrid,Proper,San Francisco Shock,Soldier: 76
35754,38991,King's Row,hybrid,Proper,San Francisco Shock,Tracer
35758,38991,King's Row,hybrid,Proper,San Francisco Shock,Widowmaker
35773,38991,King's Row,hybrid,Viol2t,San Francisco Shock,Brigitte
35782,38991,King's Row,hybrid,Viol2t,San Francisco Shock,Lucio
35824,38991,King's Row,hybrid,s9mm,San Francisco Shock,Echo
35847,38991,King's Row,hybrid,s9mm,San Francisco Shock,Reaper
35882,38991,Oasis,control,Flora,New York Excelsior,Soldier: 76
35900,38991,Oasis,control,Flora,New York Excelsior,Symmetra
35908,38991,Oasis,control,Flora,New York Excelsior,Tracer
35932,38991,Oasis,control,GangNamJin,New York Excelsior,Lucio
35968,38991,Oasis,control,Kellan,New York Excelsior,Winston
35991,38991,Oasis,control,Kellan,New York Excelsior,Zarya
36019,38991,Oasis,control,Myunb0ng,New York Excelsior,Ana
36058,38991,Oasis,control,Yaki,New York Excelsior,Genji
36072,38991,Oasis,control,Yaki,New York Excelsior,Reaper
36087,38991,Oasis,control,Yaki,New York Excelsior,Tracer
36119,38991,Oasis,control,Coluge,San Francisco Shock,Winston
36166,38991,Oasis,control,FiNN,San Francisco Shock,Ana
