,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
6469,39109,Watchpoint: Gibraltar,payload,Faith,Boston Uprising,Lucio,Summer Showdown: Qualifiers
6501,39109,Watchpoint: Gibraltar,payload,MCD,Boston Uprising,Brigitte,Summer Showdown: Qualifiers
6537,39109,Watchpoint: Gibraltar,payload,Valentine,Boston Uprising,Genji,Summer Showdown: Qualifiers
6565,39109,Watchpoint: Gibraltar,payload,Victoria,Boston Uprising,Sojourn,Summer Showdown: Qualifiers
6604,39109,Watchpoint: Gibraltar,payload,punk,Boston Uprising,Junker Queen,Summer Showdown: Qualifiers
6628,39109,New Queen Street,push,Hawk,Atlanta Reign,Junker Queen,Summer Showdown: Qualifiers
6664,39109,New Queen Street,push,Kai,Atlanta Reign,Ashe,Summer Showdown: Qualifiers
6703,39109,New Queen Street,push,Ojee,Atlanta Reign,Lucio,Summer Showdown: Qualifiers
6746,39109,New Queen Street,push,UltraViolet,Atlanta Reign,Brigitte,Summer Showdown: Qualifiers
6775,39109,New Queen Street,push,nero,Atlanta Reign,Genji,Summer Showdown: Qualifiers
6815,39109,New Queen Street,push,Faith,Boston Uprising,Lucio,Summer Showdown: Qualifiers
6850,39109,New Queen Street,push,MCD,Boston Uprising,Brigitte,Summer Showdown: Qualifiers
6885,39109,New Queen Street,push,Valentine,Boston Uprising,Genji,Summer Showdown: Qualifiers
6922,39109,New Queen Street,push,Victoria,Boston Uprising,Sojourn,Summer Showdown: Qualifiers
6958,39109,New Queen Street,push,punk,Boston Uprising,Junker Queen,Summer Showdown: Qualifiers
6993,39110,Nepal,control,Coluge,San Francisco Shock,Junker Queen,Summer Showdown: Qualifiers
7022,39110,Nepal,control,FiNN,San Francisco Shock,Brigitte,Summer Showdown: Qualifiers
7052,39110,Nepal,control,Kilo,San Francisco Shock,Sojourn,Summer Showdown: Qualifiers
7072,39110,Nepal,control,Kilo,San Francisco Shock,Symmetra,Summer Showdown: Qualifiers
7089,39110,Nepal,control,Proper,San Francisco Shock,Genji,Summer Showdown: Qualifiers
7127,39110,Nepal,control,Viol2t,San Francisco Shock,Lucio,Summer Showdown: Qualifiers
7175,39110,Nepal,control,Decay,Washington Justice,Genji,Summer Showdown: Qualifiers
7199,39110,Nepal,control,Decay,Washington Justice,Symmetra,Summer Showdown: Qualifiers
7218,39110,Nepal,control,Happy,Washington Justice,Sojourn,Summer Showdown: Qualifiers
7246,39110,Nepal,control,Happy,Washington Justice,Symmetra,Summer Showdown: Qualifiers
7270,39110,Nepal,control,MAG,Washington Justice,Junker Queen,Summer Showdown: Qualifiers
7292,39110,Nepal,control,MAG,Washington Justice,Wrecking Ball,Summer Showdown: Qualifiers
7328,39110,Nepal,control,OPENER,Washington Justice,Lucio,Summer Showdown: Qualifiers
7363,39110,Nepal,control,vigilante,Washington Justice,Brigitte,Summer Showdown: Qualifiers
7396,39110,Hollywood,hybrid,Coluge,San Francisco Shock,Doomfist,Summer Showdown: Qualifiers
7407,39110,Hollywood,hybrid,Coluge,San Francisco Shock,Junker Queen,Summer Showdown: Qualifiers
7442,39110,Hollywood,hybrid,FiNN,San Francisco Shock,Brigitte,Summer Showdown: Qualifiers
7471,39110,Hollywood,hybrid,Kilo,San Francisco Shock,Ashe,Summer Showdown: Qualifiers
7497,39110,Hollywood,hybrid,Kilo,San Francisco Shock,Sojourn,Summer Showdown: Qualifiers
7514,39110,Hollywood,hybrid,Kilo,San Francisco Shock,Widowmaker,Summer Showdown: Qualifiers
7533,39110,Hollywood,hybrid,Proper,San Francisco Shock,Genji,Summer Showdown: Qualifiers
7559,39110,Hollywood,hybrid,Proper,San Francisco Shock,Tracer,Summer Showdown: Qualifiers
7591,39110,Hollywood,hybrid,Viol2t,San Francisco Shock,Lucio,Summer Showdown: Qualifiers
7624,39110,Hollywood,hybrid,Decay,Washington Justice,Genji,Summer Showdown: Qualifiers
7645,39110,Hollywood,hybrid,Decay,Washington Justice,Hanzo,Summer Showdown: Qualifiers
7651,39110,Hollywood,hybrid,Decay,Washington Justice,Widowmaker,Summer Showdown: Qualifiers
7672,39110,Hollywood,hybrid,Happy,Washington Justice,Sojourn,Summer Showdown: Qualifiers
7714,39110,Hollywood,hybrid,MAG,Washington Justice,Junker Queen,Summer Showdown: Qualifiers
7756,39110,Hollywood,hybrid,OPENER,Washington Justice,Lucio,Summer Showdown: Qualifiers
7781,39110,Hollywood,hybrid,OPENER,Washington Justice,Mercy,Summer Showdown: Qualifiers
