,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
7051,38974,Midtown,hybrid,punk,Boston Uprising,Sigma,Kickoff Clash: Qualifiers
7066,38974,Midtown,hybrid,punk,Boston Uprising,Zarya,Kickoff Clash: Qualifiers
7090,38974,Midtown,hybrid,False,Vancouver Titans,Reinhardt,Kickoff Clash: Qualifiers
7109,38974,Midtown,hybrid,False,Vancouver Titans,Winston,Kickoff Clash: Qualifiers
7133,38974,Midtown,hybrid,False,Vancouver Titans,Zarya,Kickoff Clash: Qualifiers
7151,38974,Midtown,hybrid,Masaa,Vancouver Titans,Lucio,Kickoff Clash: Qualifiers
7194,38974,Midtown,hybrid,Seicoe,Vancouver Titans,Genji,Kickoff Clash: Qualifiers
7220,38974,Midtown,hybrid,Seicoe,Vancouver Titans,Mei,Kickoff Clash: Qualifiers
7257,38974,Midtown,hybrid,Skairipa,Vancouver Titans,Ana,Kickoff Clash: Qualifiers
7288,38974,Midtown,hybrid,Skairipa,Vancouver Titans,Baptiste,Kickoff Clash: Qualifiers
7326,38974,Midtown,hybrid,sHockWave,Vancouver Titans,Soldier: 76,Kickoff Clash: Qualifiers
7359,38974,Circuit royal,payload,Faith,Boston Uprising,Brigitte,Kickoff Clash: Qualifiers
7394,38974,Circuit royal,payload,MCD,Boston Uprising,Zenyatta,Kickoff Clash: Qualifiers
7432,38974,Circuit royal,payload,Valentine,Boston Uprising,Genji,Kickoff Clash: Qualifiers
7470,38974,Circuit royal,payload,Victoria,Boston Uprising,Widowmaker,Kickoff Clash: Qualifiers
7504,38974,Circuit royal,payload,punk,Boston Uprising,Sigma,Kickoff Clash: Qualifiers
7531,38974,Circuit royal,payload,Aspire,Vancouver Titans,Widowmaker,Kickoff Clash: Qualifiers
7566,38974,Circuit royal,payload,Aztac,Vancouver Titans,Zenyatta,Kickoff Clash: Qualifiers
7600,38974,Circuit royal,payload,False,Vancouver Titans,Doomfist,Kickoff Clash: Qualifiers
7608,38974,Circuit royal,payload,False,Vancouver Titans,Sigma,Kickoff Clash: Qualifiers
7625,38974,Circuit royal,payload,False,Vancouver Titans,Winston,Kickoff Clash: Qualifiers
7643,38974,Circuit royal,payload,Masaa,Vancouver Titans,Baptiste,Kickoff Clash: Qualifiers
7682,38974,Circuit royal,payload,Seicoe,Vancouver Titans,Genji,Kickoff Clash: Qualifiers
7720,38974,Colosseo,push,Crimzo,Boston Uprising,Ana,Kickoff Clash: Qualifiers
7755,38974,Colosseo,push,Faith,Boston Uprising,Lucio,Kickoff Clash: Qualifiers
7790,38974,Colosseo,push,STRIKER,Boston Uprising,Reaper,Kickoff Clash: Qualifiers
