,map_name,player_name,team_name,hero_name
159663,Dorado,Kilo,San Francisco Shock,Sojourn
159680,Dorado,Kilo,San Francisco Shock,Tracer
159691,Dorado,Kilo,San Francisco Shock,Widowmaker
159715,Dorado,Proper,San Francisco Shock,Genji
159734,Dorado,Proper,San Francisco Shock,Hanzo
159736,Dorado,Proper,San Francisco Shock,Tracer
159769,Dorado,Viol2t,San Francisco Shock,Brigitte
159783,Dorado,Viol2t,San Francisco Shock,Zenyatta
159811,Dorado,mikeyy,San Francisco Shock,Winston
159848,Dorado,CH0R0NG,Toronto Defiant,Brigitte
159878,Dorado,Finale,Toronto Defiant,Symmetra
159889,Dorado,Finale,Toronto Defiant,Tracer
159916,Dorado,Heesu,Toronto Defiant,Sojourn
159940,Dorado,Heesu,Toronto Defiant,Widowmaker
159963,Dorado,MuZe,Toronto Defiant,Winston
160005,Dorado,Twilight,Toronto Defiant,Ana
160034,Eichenwalde,Coluge,San Francisco Shock,D.Va
160069,Eichenwalde,FiNN,San Francisco Shock,Zenyatta
160107,Eichenwalde,Proper,San Francisco Shock,Tracer
160125,Eichenwalde,Proper,San Francisco Shock,Widowmaker
160142,Eichenwalde,Viol2t,San Francisco Shock,Ana
160182,Eichenwalde,s9mm,San Francisco Shock,Echo
160205,Eichenwalde,s9mm,San Francisco Shock,Genji
160224,Eichenwalde,s9mm,San Francisco Shock,Hanzo
160241,Eichenwalde,s9mm,San Francisco Shock,Sojourn
160267,Eichenwalde,CH0R0NG,Toronto Defiant,Zenyatta
160298,Eichenwalde,Finale,Toronto Defiant,Tracer
160329,Eichenwalde,Heesu,Toronto Defiant,Ashe
160352,Eichenwalde,Heesu,Toronto Defiant,Hanzo
160364,Eichenwalde,Heesu,Toronto Defiant,Soldier: 76
160373,Eichenwalde,Heesu,Toronto Defiant,Widowmaker
160392,Eichenwalde,MuZe,Toronto Defiant,Doomfist
160427,Eichenwalde,Twilight,Toronto Defiant,Ana
160452,Eichenwalde,Twilight,Toronto Defiant,Baptiste
160494,Oasis,Coluge,San Francisco Shock,Doomfist
160515,Oasis,Coluge,San Francisco Shock,Roadhog
160537,Oasis,FiNN,San Francisco Shock,Ana
160561,Oasis,FiNN,San Francisco Shock,Zenyatta
160591,Oasis,Proper,San Francisco Shock,Genji
160604,Oasis,Proper,San Francisco Shock,Symmetra
160609,Oasis,Proper,San Francisco Shock,Tracer
160646,Oasis,Viol2t,San Francisco Shock,Baptiste
160666,Oasis,Viol2t,San Francisco Shock,Zenyatta
160699,Oasis,s9mm,San Francisco Shock,Hanzo
160731,Oasis,CH0R0NG,Toronto Defiant,Brigitte
160744,Oasis,CH0R0NG,Toronto Defiant,Lucio
160788,Oasis,Finale,Toronto Defiant,Symmetra
160794,Oasis,Finale,Toronto Defiant,Tracer
160825,Oasis,Heesu,Toronto Defiant,Hanzo
160843,Oasis,Heesu,Toronto Defiant,Sojourn
160874,Oasis,MuZe,Toronto Defiant,Doomfist
160882,Oasis,MuZe,Toronto Defiant,Wrecking Ball
160922,Oasis,Twilight,Toronto Defiant,Ana
160945,Oasis,Twilight,Toronto Defiant,Zenyatta
160976,Colosseo,Hawk,Atlanta Reign,Reinhardt
161004,Colosseo,Kai,Atlanta Reign,Sojourn
161036,Colosseo,Ojee,Atlanta Reign,Lucio
161075,Colosseo,UltraViolet,Atlanta Reign,Baptiste
161108,Colosseo,nero,Atlanta Reign,Mei
161129,Colosseo,nero,Atlanta Reign,Sombra
161144,Colosseo,Daan,Vegas Eternal,Wrecking Ball
161178,Colosseo,Dove,Vegas Eternal,Genji
161184,Colosseo,Dove,Vegas Eternal,Sojourn
161217,Colosseo,Kaan,Vegas Eternal,Zenyatta
161248,Colosseo,dridro,Vegas Eternal,Ana
161277,Colosseo,dridro,Vegas Eternal,Lucio
161291,Colosseo,wub,Vegas Eternal,Tracer
